Frame Index,Start Time,End Time,Duration (ms)
1,250561,250901,340
2,251082,251228,146
3,251397,251812,415
4,252010,252151,141
5,252316,252456,140
6,252650,253478,828
7,252823,253481,658
8,253662,253795,133
9,253962,254355,393
10,254528,254784,256
11,254955,255227,272
12,255410,255542,132
13,255709,256343,634
14,256501,256630,129
15,256913,257171,258
16,257448,257821,373
17,258004,258141,137
18,258412,258663,251
19,258965,259096,131
20,259254,259391,137
21,259551,259693,142
22,259846,259987,141
23,260139,260271,132
24,260548,260815,267
25,261095,261875,780
26,262151,262294,143
27,262452,262587,135
28,262758,263518,760
29,263039,263519,480
30,263685,263819,134
31,263982,264356,374
32,264517,264655,138
33,264815,264951,136
34,265112,265242,130
35,265517,265651,134
36,265808,266060,252
37,266218,266360,142
38,266522,266652,130
39,266809,266939,130
40,267211,267350,139
41,267504,268014,510
42,268194,268619,425
43,268480,268619,139
44,268779,268907,128
45,269197,269849,652
46,269479,269849,370
47,270014,270609,595
48,270362,270609,247
49,270897,271031,134
50,271310,271818,508
51,271979,272471,492
52,272750,273153,403
53,272913,273153,240
54,273313,273437,124
55,273715,274150,435
56,274012,274153,141
57,274325,274467,142
58,274621,274750,129
59,274902,275281,379
60,275444,275822,378
61,275979,276582,603
62,276748,277138,390
63,277413,277923,510
64,278093,278220,127
65,278381,278515,134
66,278680,278809,129
68,279265,279888,623
69,280179,280430,251
70,280715,281100,385
71,281383,281516,133
72,281679,281823,144
73,281978,282108,130
74,282383,282519,136
75,282682,282816,134
76,282967,283480,513
77,283638,283794,156
78,283957,284086,129
80,284531,284795,264
81,284960,285096,136
82,285253,285383,130
83,285546,285697,151
84,285865,285989,124
85,286148,286277,129
86,286438,286833,395
87,287115,287250,135
88,287413,287550,137
89,287717,287853,136
90,288015,288150,135
91,288314,288499,185
92,288676,288928,252
93,289090,289218,128
94,289381,289529,148
95,289683,289815,132
96,289980,290349,369
98,290801,291550,749
99,291835,292348,513
100,292511,293016,505
